119.54,387
136.66,107
141.3,107
150.03,416
166.27,65
170.9,66
181.73,47
185.81,43
189.89,44
193.88,42
197.71,39
207.58,39
213.79,163
219.04,163
224.32,161
229.59,158
240.12,76
244.4,76
254.33,71
258.8,75
263.86,47
274.64,35
278.65,30
289.7,37
295.13,82
308.51,52
312.36,37
316.43,44
320.22,42
330.86,50
334.77,48
338.86,42
349.76,28
353.78,28
357.65,29
368.92,95
14.93,54
18.85,63
28.93,76
33.19,75
37.26,77
48.61,189
54.22,189
60.73,120
64.46,47
73.87,45
77.9,47
81.66,49
91.21,51
94.97,49
104.5,49
108.59,55
112.62,68
129.71,84
134.56,106
139.18,107
143.79,108
153.03,420
168.64,72
173.3,59
177.68,55
181.76,51
192.04,45
196.01,42
199.98,39
203.92,37
207.8,35
214.71,91
220.04,163
225.24,161
236.46,125
240.95,75
245.5,75
249.7,70
253.89,69
257.95,71
268.99,35
273.25,35
277.29,34
288.36,35
292.57,39
305.79,75
311.54,48
315.49,35
319.61,43
323.4,44
334.14,52
337.99,49
342.26,44
346.51,35
357.07,32
361.09,29
365.3,30
9.82,65
19.81,61
23.84,67
33.96,77
38.68,76
44.28,192
49.75,189
61.28,189
65.69,48
74.51,45
78.3,47
87.9,55
91.86,53
95.78,50
99.67,48
103.56,48
107.42,50
111.26,56
128.17,429
136.94,80
153.73,401
161.28,339
166.69,84
171.74,67
176.57,64
180.79,55
184.94,52
195.12,44
199.19,43
203.04,42
212.71,34
219.72,137
230.86,160
236.26,158
246.92,76
251.54,75
261.16,71
265.33,75
277.15,37
281.23,35
292.31,37
296.54,38
302.26,78
306.72,76
319.23,35
323.35,44
327.26,39
332.02,47
341.53,48
345.52,44
356.44,29
360.51,28
364.47,25
375.87,91
380.01,59
383.92,58
393.89,71
29.0,79
40.21,193
45.65,190
57.57,181
61.44,48
65.07,44
74.51,47
78.39,49
82.17,53
91.64,50
95.52,49
99.25,48
109.01,66
118.51,367
133.79,764
138.62,116
148.42,395
155.94,346
161.42,81
173.67,62
177.87,54
188.08,44
191.93,43
201.72,35
205.56,37
209.93,38
221.53,162
226.68,159
237.13,79
241.67,75
245.96,75
249.98,69
259.91,76
265.0,42
269.33,37
273.43,34
284.23,34
288.29,34
294.22,65
298.96,74
304.2,79
309.12,45
319.07,38
324.02,54
327.94,53
331.84,50
335.77,49
340.78,45
344.87,28
348.85,27
352.62,27
363.19,30
367.71,99
377.76,67
23.24,67
33.29,74
38.57,120
49.91,188
55.44,189
59.66,51
69.04,45
72.73,45
82.19,52
86.11,52
90.17,50
94.09,49
97.97,49
101.81,50
105.69,57
122.49,410
135.36,791
153.24,419
158.77,87
163.98,74
168.75,64
179.78,52
183.82,44
193.94,43
197.82,40
207.44,35
214.32,138
219.59,162
224.91,161
230.31,157
235.1,114
239.43,75
249.53,70
253.72,71
257.77,72
268.97,37
273.07,34
283.93,33
287.97,35
300.95,71
307.17,61
311.12,38
315.25,50
325.76,47
329.47,52
339.14,38
343.29,33
353.68,30
357.61,29
368.84,92
15.06,55
19.23,68
23.39,68
27.48,74
38.42,107
44.0,193
49.57,188
55.01,189
64.92,44
68.75,43
72.49,44
82.11,51
86.07,51
95.3,48
99.05,49
112.54,96
120.58,385
133.35,783
140.67,102
149.17,407
162.59,79
167.62,68
172.26,60
176.41,53
186.79,44
190.7,43
200.69,39
204.36,37
217.69,164
222.82,162
233.93,135
238.41,76
242.96,76
247.14,70
251.37,69
255.58,71
259.68,76
271.3,35
275.31,30
286.18,33
291.0,44
303.32,78
308.89,47
313.5,45
317.38,35
321.28,50
331.64,49
335.55,50
339.97,44
344.0,32
354.19,29
358.15,29
362.28,30
10.65,92
14.75,57
18.71,61
28.72,71
32.92,78
44.81,193
50.27,190
61.32,74
65.18,45
68.87,43
78.35,47
82.21,50
86.35,51
90.25,49
93.99,48
103.64,54
107.87,68
117.17,347
125.86,436
132.96,107
150.72,396
158.28,341
163.72,80
175.49,59
179.61,51
190.07,44
194.13,40
198.34,42
202.16,39
213.65,47
218.98,164
224.21,161
229.37,157
239.87,76
244.34,74
248.64,74
252.82,68
257.07,69
261.34,73
266.52,54
270.78,32
275.06,37
278.94,29
283.18,37
295.21,48
300.27,78
312.94,39
317.22,45
320.96,37
331.67,50
335.42,48
346.0,34
350.03,28
354.04,28
358.12,29
362.16,29
14.75,77
18.75,53
22.77,67
33.15,80
37.19,72
48.64,189
54.08,187
65.05,48
68.86,43
72.54,42
82.0,45
85.75,50
95.26,47
98.93,47
108.72,61
112.91,69
120.16,348
136.58,104
141.76,115
153.36,385
160.9,343
166.6,80
171.72,64
176.38,60
180.76,55
185.08,51
189.09,45
199.19,39
203.15,39
206.84,39
219.69,141
224.81,163
236.29,157
240.88,108
251.6,74
255.83,68
259.95,68
264.21,70
269.53,67
273.76,33
277.86,39
288.61,37
292.95,35
297.9,44
303.04,74
315.72,45
319.67,35
323.68,44
327.71,45
332.72,44
336.68,52
340.58,49
344.52,50
355.4,30
359.25,27
369.83,32
374.55,70
384.73,64
388.74,67
30.27,74
34.38,78
45.51,190
51.08,189
57.43,150
61.27,44
65.09,44
68.91,44
72.75,45
76.48,49
85.91,49
89.63,47
99.13,53
103.55,67
112.48,342
128.81,106
134.3,115
145.55,389
153.01,341
158.66,78
163.74,77
168.36,62
179.14,51
183.13,45
193.28,42
197.03,39
209.48,80
214.71,164
219.99,162
